Region,Major RGI region,Mountain range region,Country,Glacier,RGI glacier ID,Lake name,Lake type,Longitude,Latitude,River,Outburst mechanism
NW North America,Alaska,N Coast Ranges,Canada,Salmon Glacier,RGI60-01.06618,Summit Lake,ice,-130.079713,56.201261,,
NW North America,Alaska,N Coast Ranges,Canada,Tulsequah Glacier,RGI60-01.01521,Lake No Lake,ice,-133.862658,58.878526,,
NW North America,Alaska,Alaska Ra (Wrangell/Kilbuck),USA,Kennicott Glacier,RGI60-01.15645,Hidden Creek Lake,ice,-143.093834,61.560855,,
NW North America,Alaska,St Elias Mtns,USA,Kieffer Glacier,RGI60-01.23641,Iceberg Lake,ice,-142.95,60.76,,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Tazlina Glacier,RGI60-01.10778,Big Lake,ice,-146.620789,61.59664,,
NW North America,Alaska,N Coast Ranges,USA,Lituya Glacier,RGI60-01.21005,Desolation Lake,ice,-137.604,58.751,Lituya Bay,subglacial tunneling
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Bear Glacier,RGI60-01.17803,Ice Lake,ice,-149.607868,60.072956,,
NW North America,Alaska,N Coast Ranges,Canada,Tulsequah Glacier,RGI60-01.01521,Lake No Lake,ice,-133.862658,58.878526,Taku,
NW North America,Alaska,Alaska Ra (Wrangell/Kilbuck),USA,Kennicott Glacier,RGI60-01.15645,Hidden Creek Lake,ice,-143.093834,61.560855,,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,ice,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,Alaska Ra (Wrangell/Kilbuck),USA,Kennicott Glacier,RGI60-01.15645,Kennicott-unknown,ice,-143.134,61.5688,,
NW North America,Alaska,N Coast Ranges,Canada,Salmon Glacier,RGI60-01.06618,Summit Lake,ice,-130.079713,56.201261,Salmon,
NW North America,Alaska,N Coast Ranges,Canada,Tulsequah Glacier,RGI60-01.01521,Lake No Lake,ice,-133.862658,58.878526,Taku,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Tazlina Glacier,RGI60-01.10778,Big Lake,ice,-146.620789,61.59664,,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,subglacial,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,St Elias Mtns,USA,Miles Glacier,RGI60-01.13531,Van Cleve Lake,ice,-144.408245,60.695872,,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Bear Glacier,RGI60-01.17803,Ice Lake,ice,-149.607868,60.072956,,
