Lake ID,Region,Major RGI region,Mountain range region,Country,Glacier,RGI glacier ID,Lake name,Lake type,Longitude,Latitude,River,Outburst mechanism
81,Andes,Low Latitudes,Low-latitude Andes,Peru,Caraz,RGI60-16.02444,Artesoncocha,moraine,-77.644167,-8.975278,,breach
82,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
83,Andes,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,Lago Argentino,ice,-72.98,-50.5,Santa Cruz,tunneling and collapse
84,Andes,Southern Andes,C Andes,Argentina,RGI60-17.11676,RGI60-17.11765,,moraine,-72.001348,-42.426498,,breach
85,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02188,RGI60-16.02188,Milluacocha,moraine,-77.412339,-9.363814,,breach
86,Andes,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,Lago Argentino,ice,-72.98,-50.5,Santa Cruz,tunneling and collapse
87,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
88,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02265,RGI60-16.02265,Tullparaju,moraine,-77.344722,-9.421667,,breach
89,Andes,Southern Andes,C Andes,Chile,Juncal sur,RGI60-17.14015,,ice,-70.12,-33.17,Olivares,
90,Andes,Southern Andes,C Andes,Chile,Gl. Cachapoal,RGI60-17.13403,,ice,-70.08,-34.37,,
91,Andes,Southern Andes,Patagonia,Chile,RGI60-17.08975,RGI60-17.08978,,moraine,-72.86666667,-46.23333333,Río Engaño,
92,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
93,Andes,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,Lago Argentino,ice,-72.98,-50.5,Santa Cruz,tunneling and collapse
94,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
95,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
96,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
97,Andes,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,Lago Argentino,ice,-72.98,-50.5,Santa Cruz,tunneling and collapse
98,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02068,RGI60-16.02068,,moraine,-77.22820071,-9.75449409,,breach
99,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02510,RGI60-16.02510,Unnamed (Q. Alpamayo),moraine,-77.693333,-8.881389,,overtopping
100,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
101,Andes,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,Lago Argentino,ice,-72.98,-50.5,Santa Cruz,tunneling and collapse
102,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
103,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
104,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02182,RGI60-16.02182,Tumarina,moraine,-77.295833,-9.494444,,breach
105,Andes,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,Lago Argentino,ice,-72.98,-50.5,Santa Cruz,tunneling and collapse
106,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
107,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
108,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02225,RGI60-16.02225,,moraine,-77.33148113,-9.46051736,,breach
109,Andes,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,Lago Argentino,ice,-72.98,-50.5,Santa Cruz,tunneling and collapse
110,Andes,Low Latitudes,Low-latitude Andes,Peru,Pucajirca,RGI60-16.02553,Safuna Alta,moraine,-77.618611,-8.8425,,piping
111,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02300,RGI60-16.02300,Librón,bedrock,-77.49072,-9.20659,,overtopping
112,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02305,RGI60-16.02305,Unnamed (Q. Huichganga),moraine,-77.502778,-9.219444,,overtopping
113,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02364,RGI60-16.02364,Yanaraju,moraine,-77.483611,-9.133889,,overtopping
114,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02358,RGI60-16.02358,Cancaracá,moraine,-77.505556,-9.141944,,overtopping
115,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02309,RGI60-16.02309,,moraine,-77.49923847,-9.20023784,,
116,Andes,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,Lago Argentino,ice,-72.98,-50.5,Santa Cruz,tunneling and collapse
117,Andes,Southern Andes,Patagonia,Chile,RGI60-17.09519,RGI60-17.09519,Hudson Volcano Caldera Lake,ice – volc,-72.92046,-45.90041,,
118,Andes,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,Lago Argentino,ice,-72.98,-50.5,Santa Cruz,tunneling and collapse
119,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.01870,RGI60-16.01870,W085,moraine/bedrock,-76.9415,-10.2968,,overtopping
120,Andes,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,Lago Argentino,ice,-72.98,-50.5,Santa Cruz,tunneling and collapse
121,Andes,Southern Andes,Patagonia,Chile,Engaño Glacier,RGI60-17.08714,Engaño Lake,moraine,-72.968102,-46.447497,Río Engaño,
122,Andes,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,Lago Argentino,ice,-72.98,-50.5,Santa Cruz,tunneling and collapse
123,Andes,Southern Andes,C Andes,Chile,Gl. Cachapoal,RGI60-17.13403,,ice,-70.08,-34.37,,
124,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.01909,RGI60-16.01909,Sarapococha,moraine,-76.91354596,-10.31229598,,breach/overtopping
125,Andes,Southern Andes,Patagonia,Chile,Gl. Dickson,RGI60-17.04871,Lago Dickson,supraglacial,-73.1046867,-50.71553324,Paine,
126,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02188,RGI60-16.02188,Milluacocha,moraine,-77.412339,-9.363814,,overtopping
